Video,Taxonomy,Title,Question,Answer
./assets/samples/csaYZ223GSs.mp4,Element Localization,World Knowledge,"After the man close the window, which side of the glass is being cleaned?","The man is cleaning both the exterior and interior of the glass. The man places a magnetic cleaning squeegee on both sides of the window, with one half fixed on the exterior and the other half on the interior. As the person stands inside and conducts the wiping motion, both sides are being cleaned because the magnetic tool moves along on the exterior part when the interior part is moved. Another piece of evidence is the man's spraying of cleaning solution on both sides of the window. The exterior part is sprayed with a long pink syringe-like tool, while the interior part is sprayed with a rounded peach-colored spray bottle."
./assets/samples/hLuriuguoLE.mp4,Element Counting,Unclear & Unusual,How many yellow wheels does all strollers have in the video?,"All the strollers in the video have a total of six yellow wheels. Each stroller has only two yellow wheels in the back and two black wheels in the front. There are three strollers in total. Therefore, two yellow wheels per stroller multiplied by three strollers, equals six yellow wheels."
./assets/samples/6hM1j8VUTb0.mp4,Element Counting,Spatial-temporal,How many picture frames are showing?,"The video displays 10 frames. As the camera pans from left to right and then returns left, the frames at the end of the video are the same to those at the beginning."
./assets/samples/QNjHjh5nlp4.mp4,Element Counting,Complex Plot,How many robbers appear in the video?,"There are two robbers in the video. In the video, two robbers enter the store, one later robs a customer with a gun, and one walks behind the cash register to rob."
./assets/samples/f3fywt6uJBM.mp4,Element Counting,World Knowledge,How many cell phones are on the piano in the video?,"There are two cell phones on the piano in the video. One is on the left-hand side of the pianist and has a green phone case. The other is on the right-hand side of the pianist and has a light-colored phone case.This can also be inferred from the two perspectives in the video. In the first perspective, when the woman in white appears in the first scene of the video, there is a phone with a light-colored phone case on the right side of the pianist. In the second perspective, when the girl holding the violin appears on the left side of the pianist, there is a phone with a green phone case."
./assets/samples/SEcg3PZZwtk.mp4,Event Attribute,Unclear & Unusual,What did the person who appeared in the first scene of the video do to the person who appeared later?,"In the video, the person who appeared in the first scene took the money from the person who appeared later. When the second person appears, they are holding cash in their hand. Then, the first person reaches out to take it. It's clear that the item taken away is a banknote, as inferred by the plot in which the second person becomes angry and starts following, pointing, and calling out to the first person."
./assets/samples/S98VyYOJe-s.mp4,Event Attribute,Spatial-temporal,What does the person do after she climb out of the car?,"After climbing out of the car, the person proceeds to climb onto the roof of the car. The personn then rolled across the front windshield and eventually slide down the front windshield. Finally, they sit on the ground next to the car, extending their hand towards the camera."
./assets/samples/3krczYGxVjE.mp4,Event Attribute,Complex Plot,"In first scene, what is the way to turn off the lights shown in the video after putting down the phone?","In the first scene, it was the dog who turned off the light. In the first scene, the person in the video puts down his phone, pats the dog with his slippers, and the dog jumps down to the switch and turns off the light. In the first scene, the person did not turn off the lights by clapping their hands after putting down their phone. The first scene shows the person patting the dog with a slipper, and then the dog turns off the light. There is no mention of clapping twice to turn off the light."
./assets/samples/7pTwqG9VM7o.mp4,Event Attribute,World Knowledge,What causes the small basketball to land on the wooden surface when shot by the person?,"The inflated small basketball held by this person fell onto the wooden surface when shooting because the small basketball is filled with gas less dense than air. So when the basketball is released, it actually floats upwards towards the wooden surface. This wooden surface is actually the ceiling, and the white surface where this person is standing is the real floor. This effect is caused by a visual illusion of the room, which is completely decorated upside down."
./assets/samples/7-f1EIXbkXo.mp4,Event Localization,Unclear & Unusual,What actions does the woman do before pouring?,"Before pouring, she slowly pours a blue liquid from the liquor pourer into a large transparent cup with a red and yellow gradient. She tilts the cup at an angle and slowly pours the blue liquid. Then, the preparation is done and she starts pouring the gradient-colored liquid into the smaller cups."
./assets/samples/LLvXyvnyAF0.mp4,Event Localization,Spatial-temporal,What is the woman doing when the man starts running away towards the back?,"When the man starts running away towards the back, the woman is sitting at the table and puts her hands together and bows her head in prayer. She is most likely praying before eating to thank God for the food. In the meantime, the man who is conducting a challenge successfully pulls away the white tablecloth without tipping over the items on the table. After the successful pull of the tablecloth, the woman does the action of quick small stomps while holding a glass cup and smiling, indicating she is excited to start the meal."
./assets/samples/GRZ0xQb08K4.mp4,Event Localization,Complex Plot,What did the person do when there was one day left in the video?,"When there was one day left, the person walked toward a bed and lay down in it. In the video, when the countdown timer shows 1 day, 46 hours, and 5 minutes, the person is seen walking to the bed and lying in it. The image is not too clear, but we can infer from the next image, which shows the countdown timer again, now at 0 days, 0 hours, and 0 minutes, that the person was still lying in the bed. So, it can be inferred that the previous unclear scene shows this person walking toward the bed and lying down when there was one day left."
./assets/samples/SBCYj4bNTXc.mp4,Event Localization,World Knowledge,What did the lady in the second couple in the video think the man was going to do?,"The lady of the second couple thought the man was going to rob her of her food. This is evident from her reaction when she quickly takes the food and puts it in her mouth as the man reaches out his hand, but he actually grabs the phone instead."
./assets/samples/LUxtvSdp8OI.mp4,Event Speed,Movement Speed,How does the speed of the orange watering can change?,"The speed of the orange watering can slows down over time. At first, when the person pushes the spray can out and then starts demonstrating spinning the stick, the watering can swings in a big motion. However, all objects in pendulum motion will eventually stop due to resistant forces like air resistance in real life. While the person in the foreground gradually speeds up their demonstration as the video progresses, the watering can in the background moves slower and slower until it is about to stop at the end of the video. The speed of the orange watering can does not increase over time. The video begins with the man pushing the spray can out, then no more interaction is conducted. As the demonstration progresses, the speed of the spinning stick held by the man gets faster and faster due to the applied force from the man, and the spray can moves slower and slower until it is about to stop since it is left alone."
./assets/samples/oeYuFJg7-fM.mp4,Event Speed,Movement Speed,Who is faster in the balloon-popping challenge?,"The person on the left wearing the red shirt was faster in the balloon-popping challenge. The person on the left burst all the red balloons on the left side first. At the end of the video, the person on the left burst the yellow balloon representing victory first, thus completing the balloon-popping challenge."
./assets/samples/4alU0qqOWbs.mp4,Event Speed,Movement Speed,Which kid runs the fastest at the end of the video?,"The child in the video wearing white long sleeves and black shorts is the fastest runner. From the end of the video, it can be seen that the boy wearing white long sleeves and black shorts appears to reach the finish line first, so he is the fastest. He is the runner counting second from the camera sideline and sixth from the field sideline, and is on the third track from the camera sideline and the sixth track from the field. This position is based on their initial standpoint as some of the children run off track at the end."
./assets/samples/I8l0ngWDWac.mp4,Event Speed,Movement Speed,Which phone opens the app X faster?,"Based on the video, the Samsung S23 Ultra opens the app X faster than the iPhone 15 Pro Max. The Samsung S23 Ultra displays the logo and then the app's content in a split second, while the iPhone 15 Pro Max is slower with the logo pending page, and When eventually getting into the app, it is still loading. This indicates that the Samsung S23 Ultra has a quicker app launch time for this particular app."
./assets/samples/FTIH1LZBzZs.mp4,Event Displacement,Unclear & Unusual,What is the trajectory of the basketball after it is thrown?,"After the basketball is thrown, it follows a parabolic path that covers a long distance as it is shot from the other side of the court. It then hits the upper edge of the backboard rim and bounces backwards relative to its original path. Coincidentally, it hits the ceiling beam and bounces back towards the hoop again, in the correct direction. Finally, it falls perfectly into the hoop, and the shot is successful."
./assets/samples/KwKJ6gtOGpQ.mp4,Event Displacement,Unclear & Unusual,What changes occurred in the lighting in the background of the video?,"The light in the background of the video, specifically the leftmost part of the light, gradually expands, and its shape resembles a star, making it appear as if it is twinkling. There are three panels of walls, and each wall has a few star-shaped lights and V-shaped lights. The lights in the middle panel and on the right panel consistently maintain the same brightness and pattern throughout the clip, while the leftmost part twinkles."
./assets/samples/IS5MfXM_Moc.mp4,Event Displacement,Spatial-temporal,What is the common trajectory of each individual ball in the video?,"The trajectory of the individual colorful balls in the animation follows strictly a straight line. The video starts with the first blue ball moving up and down in a straight line. Then a second yellow ball appears, moving horizontally in a straight line. As more balls appear, they all follow their own trajectories in a straight, reciprocating motion. The trajectory of any of the balls in the video is not curved. It is evident from the video that the trajectory of each ball is a straight line reciprocating motion. As more and more balls are involved, the overall formed trajectory from the combination of all balls is a circle, but the trajectory of any one ball is a straight line."
./assets/samples/o77rfiYxaz8.mp4,Event Displacement,Complex Plot,What happened to the position of the car after the spin?,"After the full spin, the car ended up in the innermost lane in the forward traffic in the video (relative to the camera perspective), but still facing the correct direction of travel. Despite the spin, the car managed to avoid collisions and spin to a perfect fit into the traffic with the correct orientation, continuing to drive as if nothing had happened."
./assets/samples/Sfy6d6ajyVw.mp4,Character Emotion,World Knowledge,"What is the reaction of ""normal people"" initially?","The initial reaction of ""normal people"" is to look at their phone battery percentage with attention and then quickly shrug the thought aside with indifference, indicating that the battery percentage is still at a level which the ""normal people"" think doesn't need to be charged yet. This exchange continues twice at 20% and 10%, and only when the battery percentage is down to 1% does the person finally stand up to go find a charging plug."
./assets/samples/RbdWggNEZGw.mp4,Character Emotion,World Knowledge,What emotion is the man in a white shirt eating a banana experiencing in the video?,"The man in the white shirt eating a banana appears to be experiencing a sense of surprising and incredible. The man in the white shirt eating the banana was shocked and surprised by the banana auction, and used rich body language to express his disbelief. The man in the white shirt eating a banana was very shocked by the auction of bananas. So many people came to bid for a banana. His body language showed his rich inner thoughts."
./assets/samples/m_H3uWi3_2o.mp4,Character Emotion,World Knowledge,What is the reaction of the man in the first two scenes after the visitor waved at him?,"In the first two scenes, after the visitor waved at him, the man appears to be disappointed, nodded with acknowledgment, and walked away from the visitor. The man is a gallery guide who is eager to share information about the art, so he walks up to the visitors eager to share information with them. However, the first two visitors seem more interested in quietly observing the artwork and they react to the man with a hand wave, indicating a rejection of the talk the man is about to give. The man then seems disappointed, turns around, nods with acknowledgment, and walks away."
./assets/samples/-uH-Pt86uo4.mp4,Character Emotion,World Knowledge,What is the reaction of the person who came in second place in the video?,"The second-ranked person appears to have a stoic and neutral reaction. She stands still, with a neutral posture, dull eyes, and a blank expression, side-eyeing left and right. On the contrary, the first-ranked and third-ranked people are very happy, showing excitement and celebratory movements. This shows that the second-ranked person is likely not satisfied with her ranking."
./assets/samples/l9HF9qcNvBs.mp4,Plot Attribute,Complex Plot,Who made the water overflow and failed the challenge?,"The person in the blue shirt made the water overflow and failed the challenge In the video, several people can be seen taking turns filling the glass with water until the in the blue T-shirt at the end of the video caused the water to splash out of the glass, signaling failure in the challenge. He then picks up the glass and drinks it down as part of the punishment for failing the game."
./assets/samples/yjUKlDpTbgU.mp4,Plot Attribute,Complex Plot,What method does the dog use to unlock the safe in the video?,The dog knows how to open the safe because it uses its nose to activate the biometric lock. There are two dogs in the video. One of the dogs put the ball under the table and the owner went over to put the ball in the safe. Another dog took a sock to the bed to distract the owner. The remaining dog used the computer to check the information and then used the nose print to activate the biometric lock to open the safe.
./assets/samples/POwncb1HzPQ.mp4,Plot Attribute,World Knowledge,What scenario is the woman in the video imitating with her actions?,"The woman in the video is imitating the actions of being shot. She stands upright, then suddenly leans backward, clearly as if struck by an external force, eventually falling to the ground. The woman imitates different ways of being struck and falling, which correspond to the manner in which one would fall when shot in different parts of the body. The sandy slope provides a safe environment for her to perform this action without injury."
./assets/samples/kzRNgku9nEU.mp4,Plot Attribute,World Knowledge,What revelation did this video give at the end?,"At the end of the video, the man in black was continuously injured by the man in the red hat. At the end of the video, a man dressed in black is continuously injured by a man wearing a red hat. He was first caught in the hand, then accidentally hit on the head, and when he was knocked unconscious, he collapsed in his seat. The man lost his balance and fall into the seat not because the bag was too heavy."
./assets/samples/KSQhQFVQj5M.mp4,Plot Attributes (Narrative Editing),Narrative Editing,What narrative purpose does the scene with the person drinking from a cup serve in the video?,"The scene with the person drinking from a cup serves to illustrate the financial impact of damaging a rented house. The video starts with a person testing the performance of each bat by hitting baseballs, but the player is hitting each baseball towards the building in the background. The scene then transitions to a person in a room, possibly an apartment. Based on the narration, this is meant to indicate the person is living in the building which the first person is hitting the baseballs towards, and the baseballs possibly broke past the windows or walls of the apartment, hitting the cabinets and breaking big holes in them. The text overlay shows the initial deposit amount and then the deductions made for each broken piece in the house, providing a visual representation of the decreasing balance. Thus, it can be inferred that the person does not actually own this house but rented it, and the physical damage caused by the person playing baseball outside is actually causing financial damages to the man drinking."
./assets/samples/nkY5znKeKzE.mp4,Plot Attributes (Narrative Editing),Narrative Editing,What is the main interaction between the combined shots?,"The main interaction between the combined shots is the kicking back and forth of an empty water bottle between the man in the grass field scene and a woman in a gym. The sequence is cleverly edited so that the woman kicks the bottle to the left side of the screen while the bottle is received from the right side of the screen by the man on the grassy field. This sequence continues with the man throwing the bottle back to the right side of the screen, and the back and forth exchange continues multiple times with acrobatic moves, precision, and coordination until it ends up hitting a young boy on the field in the end. This exchange of kicking the water bottle is not done physically but rather a clever combination of montage to make it believable."
./assets/samples/WbCqk3TIySs.mp4,Plot Attributes (Narrative Editing),Narrative Editing,"Based on the narrative in the video, why did a piece of meat appear on the grill?","Based on the narrative in the video, the piece of meat appeared on the second chef's grill because the first chef, who was cutting the meat in a hot air balloon, cut and dropped it from the high air, which then landed on the second chef's grill when he turned his back against the grill. Then when he turned back, he observed with shock and looked up into the sky, trying to comprehend the sudden appearance of a slice of meat not prepared by him. This is a clever combination of two shots to make a comedic effect, as in a true physical sense this would be unlikely to happen."
./assets/samples/fCm_r8_aCio.mp4,Plot Attributes (Narrative Editing),Narrative Editing,What is the narrative purpose of the shot with the microscope?,"The shot with the microscope serves to reveal why the man was crying, as a narrative tool. At the beginning of the video, a man is crying and collecting his tears to place under a microscope, followed by memory scenes appearing. Since the function of a microscope is to examine what is contained within a substance, it can be inferred narratively that placing the tears under the microscope is to investigate the reason behind the man's tears."
./assets/samples/OzEatPGBoe0.mp4,Objective Causality,Unclear & Unusual,Why can't the man pour ketchup out at his second try?,"The man cannot pour ketchup out on his second try because the mouth of the bottle is facing upward. In the video, it can be seen that during the first try, the person forgot to remove the cap from the bottle. He then turns the mouth of the bottle upward to open the cap, but when he tries to pour again, he forgets to turn the mouth of the bottle downwards, thus he couldn't pour the ketchup out."
./assets/samples/-AkqqHcJYgg.mp4,Objective Causality,Complex Plot,Why did the woman bump into the door instead of opening it herself at the end of the video?,"The woman did not open the door herself but bumped into it because she thought the man would open it for her. Throughout the video, the man is catering to the woman by predicting her needs and helping her by doing actions such as opening doors of rooms, the fridge, and cabinets, turning on the lights, carrying her bag, and so on. At the end of the video, the man misjudges the woman's next move and thinks she is going to sit on the chair, so he pulls the chair for her. However, the woman actually wanted to go into the room and expected the man to open the door for her, causing her to bump into the door."
./assets/samples/VBb2SyH2Tyc.mp4,Objective Causality,World Knowledge,Why did the baby dinosaur on the man's hand move in the video?,"The baby dinosaur on the man's hand moved because it is an animatronic puppet. The man is controlling its movements using his right hand, to make it appear lifelike. In the video, the man manipulates the baby dinosaur puppet close to the arm of the photographer, making it appear as if it is a real dinosaur with realistic movements."
./assets/samples/hcJzXevd8fM.mp4,Objective Causality,World Knowledge,How did the baby took the food in the refrigerator at the end of the video?,"At the end of the video, the baby took the food from the refrigerator by being manipulated by the man wants to eat the cake but does not want to be caught on camera. The man manipulated the baby's hands to grab the plate of food and then carefully pulled it out. The baby's action and the man's hand was captured on camera, showing the man's humorous determination and resourcefulness in getting the food."
./assets/samples/b6akXHcZQww.mp4,Objective Causality (Technical Editing),Technical Editing,Why in the photo the person didn't have wings had a reflection of them with wings in the water?,"This effect is primarily achieved through video editing. First, in each scene of the video, the protagonist wears a pair of wing props on their back. When standing under sunlight, the wings cast a shadow, creating the appearance of a person with wings. At this point, the photographer captures a photo. Next, in the same location, the protagonist removes the wings and recreates the same pose. The photographer takes another photo. Finally, the two photos are edited together to produce the completed image."
./assets/samples/9nRFVqAwfjE.mp4,Objective Causality (Technical Editing),Technical Editing,How are the ripples of the shark jumping in the video created?,"The ripples of the shark jumping in the video are created by a small object, possibly a pebble, being dropped into the water. The people in the video are shown filming the preproduction of the rippling scene first, and it later underwent post-editing. The shark is an animated overlay added during video editing to create the illusion of a shark jumping and causing the ripples."
./assets/samples/vSkT8O8dvJ0.mp4,Objective Causality (Technical Editing),Technical Editing,Why is the posture of the person wearing a black shirt different to his shadow in the final photo?,"The posture of the person wearing a black shirt is different from his shadow in the final photo because of the use of digital photo compositing technology to combine two photos into one. It makes the posture of the arms held on the poles appear in the shadow, while the arms of the real body are by their sides. The photographer first took a photo of the person's shadow, where the person's arms were bent out and holding onto two poles out of six. Before the second photo was taken, the person being photographed then removed the poles and turned around, with his arms resting by his sides and not holding anything. The photographer then took photo in this body posture without the poles. Finally, the two photos were combined to create this photo effect."
./assets/samples/9-s86F6vk2Y.mp4,Objective Causality (Technical Editing),Technical Editing,How is the person standing on the guitar in the photo at the end?,"The person appears to be standing on the guitar due to a clever photographic perspective. The guitar is held close to the camera, horizontally midair aligning the camera view to the ground, while the person is standing on a distant elevated platform. This creates an optical illusion that makes it look like the person is standing on the guitar."
./assets/samples/hddKgzdIeTk.mp4,Professional Knowledge,World Knowledge,Why is the bottle immersed in the first pot of water?,"The bottle is immersed in the first pot of water, which is boiling hot, to use hot water to heat the score line made on the bottle initially. This is then quickly followed by cold water to create thermal stress and cause the glass to crack along the heated line, effectively cutting the bottle apart. This process helps to ensure a clean break and smooth edge on the glass."
./assets/samples/2JHsowO3o2E.mp4,Professional Knowledge,World Knowledge,How does the woman in red keep the apple from falling?,"The woman keeps the apple from falling by using a piece of paper that is folded multiple times to increase its strength. This folded paper is placed between two boxes, creating a bridge that can support the weight of the apple. The increased thickness and rigidity of the folded paper prevent it from bending or collapsing under the apple's weight."
./assets/samples/SHiZrwSPVrg.mp4,Professional Knowledge,World Knowledge,What is the function of two cups with red liquid?,"The two cups with red liquid are used to add weights and keep balance in the science experiment to demonstrate that a large weight can be lifted after creating a vacuum. The process involves lighting a candle placed between the two cups and then covering the candle with a glass. As the candle burns, it consumes oxygen, and once the oxygen is depleted, the flame goes out, creating a vacuum inside the glass. This vacuum causes the glass to firmly stick to the surface beneath the candle. Eventually, the glass is stuck in place enough that lifting it can lift the platform with the two cups of weights from the liquid."
./assets/samples/bWl5aFDT7pQ.mp4,Professional Knowledge,World Knowledge,"In the physical experiment in the video, why is the match successfully lit in the end?","The match is successfully lit in the end because it is dried completely after soaking in water. The toothpaste protects the match head temporarily from soaking up water, and the drying process ensures all moisture is removed, allowing the match to ignite."
./assets/samples/zwMEhBq4kYM.mp4,Character Motivation,Complex Plot,Why did the man want to exchange the watermelon back at the end of the video?,"The man wanted to exchange the watermelon back because he realized that he was fooled by the girl. The man didn't like the seeds on his piece of watermelon, so he swapped it with the girl, but as soon as the girl got the piece of watermelon, he removed the fake watermelon seeds on it, and the man realized that he had been deceived and wanted his original piece back. he man wanted to exchange the watermelon back at the end of the video not because he realized that the watermelon he received was full of seeds."
./assets/samples/NK6UDnyZf4g.mp4,Character Motivation,Complex Plot,What does the man in black in the video want to express when he bites his hand when he takes a photo?,He is mimicking his own movements as a child in the photo. He is mimicking his own movements as a child in the photo.The passage of time and full of nostalgia is shown through the contrast of this action.
./assets/samples/qcqSffoqwq8.mp4,Character Motivation,World Knowledge,Why didn't the Border Collie run away?,"The Border Collie didn't run away because it is very intelligent in catching the person's fraud as he didn't actually throw out any ball initially. So the dog didn't go and fetch like other dogs do. Instead, it waited for the second throw, when the ball was finally released and caught directly by the Border Collie. This is also suggested by the caption ""EVERYTHING IS DISTRACTIONS JUST FOCUS ON YOUR GOALS,"" which prompts that the Border Collie is focusing on its goal and avoiding the first fraudulent throw, which is just a distraction."
./assets/samples/qFAfosZ2PY0.mp4,Character Motivation,World Knowledge,Did the girl kick the boy at the end of the video? Why did she do it?,"The girl is in annoyance or irritation with her boyfriend because the gift from the boy is actually not a gold ring but a chocolate wrapper. The boy surprised the girl with a ring placed on his phone. Initially, it looks like a digital photo, but when the screen turns black, it looks real. Then the girl takes the gold ring from the phone and holds it with her fingers to look carefully, only to realize it is actually a chocolate wrapper as it is very soft and easily bendable, and the boy's teeth have lingering brownish content as a sign that he just ate the chocolate. Then the woman is annoyed and angered by the man and kicks him away as a response."
